Fish Species,Cover,Area,Weight in LBS,Depth,ID,,,
Largemouth,Boat Docks,Creeks,4.5,46152,Day1,,,
Largemouth,Natural Rock,Lower Section Main Lake,3.5,0-5,Day1,,,
Largemouth,Boat Docks,Creeks,4.8125,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.125,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2.1875,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2.5,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,4.3125,0-5,Day1,,,
Spotted,Boat Docks,Lower Section Main Lake,2,0-5,Day1,,,
Largemouth,Boat Docks,Creeks,2.625,0-5,Day1,,,
Largemouth,Natural Rock,Creeks,2.125,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.0625,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.1875,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.375,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,4,0-5,Day1,,,
Largemouth,Natural Rock,River,6.3125,0-5,Day1,,,
Largemouth,Rip Rap,Mid Section Main Lake,2.125,46152,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2.0625,0-5,Day1,,,
Largemouth,Boat Docks,Mid Section Main Lake,2.125,46152,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2,46152,Day1,,,
Largemouth,Boat Docks,Creeks,2.3125,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,3.375,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,3.875,0-5,Day1,,,
Largemouth,Boat Docks,Creeks,3.6875,46152,Day1,,,
Largemouth,Natural Rock,Mid Section Main Lake,2.125,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,3.125,0-5,Day1,,,
Largemouth,Boat Docks,Mid Section Main Lake,2.875,46152,Day1,,,
Largemouth,Rip Rap,Creeks,2.25,0-5,Day1,,,
Largemouth,Point,Bays/Pockets,2.25,46310,Day1,,,
Largemouth,Rip Rap,Mid Section Main Lake,5.1875,46152,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.5,0-5,Day1,,,
Largemouth,Boat Docks,Creeks,2.0625,0-5,Day1,,,
Largemouth,Lay Downs,Bays/Pockets,2.6875,0-5,Day1,,,
Largemouth,Lay Downs,River,2.1875,0-5,Day1,,,
Largemouth,Brush Pile,Mid Section Main Lake,2.625,46152,Day1,,,
Largemouth,Natural Rock,Creeks,2.25,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,2.375,0-5,Day1,,,
Largemouth,Natural Rock,Creeks,4.5,0-5,Day1,,,
Largemouth,Natural Rock,Bays/Pockets,3.0625,0-5,Day1,,,
Largemouth,Boat Docks,Bays/Pockets,2.9375,0-5,Day1,,,
